GRAFO CON N=34, M=78, C=36;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
          L;Filtro ;D=len(P);D=1+maxGrado;;;;;;;;;;;;;
6;0,019832;0,028056;0,12985;;;;;;;;;;;;;
7;0,019886;0,028176;0,13003;;;;;;;;;;;;;
8;0,019911;0,028197;0,130156;;;;;;;;;;;;;
9;0,019932;0,028211;0,130793;;;;;;;;;;;;;
10;0,019976;0,028234;0,13101;;;;;;;;;;;;;
20;0,020016;0,028239;0,13187;;;;;;;;;;;;;
30;0,020016;0,028239;0,13187;;;;;;;;;;;;;
40;0,020016;0,028239;0,13187;;;;;;;;;;;;;
50;0,020016;0,028239;0,13187;;;;;;;;;;;;;
60;0,020016;0,028239;0,13187;;;;;;;;;;;;;
70;0,020016;0,028239;0,13187;;;;;;;;;;;;;
80;0,020016;0,028239;0,13187;;;;;;;;;;;;;
90;0,020016;0,028239;0,13187;;;;;;;;;;;;;
100;0,020016;0,028239;0,13187;;;;;;;;;;;;;
110;0,020016;0,028239;0,13187;;;;;;;;;;;;;
120;0,020016;0,028239;0,13187;;;;;;;;;;;;;
130;0,020016;0,028239;0,13187;;;;;;;;;;;;;
140;0,020016;0,028239;0,13187;;;;;;;;;;;;;
150;0,020016;0,028239;0,13187;;;;;;;;;;;;;
160;0,020016;0,028239;0,13187;;;;;;;;;;;;;
170;0,020016;0,028239;0,13187;;;;;;;;;;;;;
180;0,020016;0,028239;0,13187;;;;;;;;;;;;;
190;0,020016;0,028239;0,13187;;;;;;;;;;;;;
200;0,020016;0,028239;0,13187;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
GRAFO CON N=58228, M=214078, C=290004;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
          L;Filtro ;D=len(P);D=1+maxGrado;;;;;;;;;;;;;
1;3,151385;0,792154;6,073752;;;;;;;;;;;;;
2;3,153012;0,856901;6,833994;;;;;;;;;;;;;
3;3,158092;0,889869;7,446069;;;;;;;;;;;;;
4;3,16091;0,916688;7,818893;;;;;;;;;;;;;
5;3,161189;0,942527;7,870725;;;;;;;;;;;;;
6;3,162232;0,984177;;;;;;;;;;;;;;
7;3,164362;1,036203;;;;;;;;;;;;;;
8;3,167019;1,066671;;;;;;;;;;;;;;
9;3,16993;1,089618;;;;;;;;;;;;;;
10;3,172485;1,102438;11,187727;;;;;;;;;;;;;
20;3,173403;1,3097;;;;;;;;;;;;;;
30;3,174567;1,542104;;;;;;;;;;;;;;
40;3,175131;1,718176;;;;;;;;;;;;;;
50;3,177283;2,068983;;;;;;;;;;;;;;
60;3,179445;2,508689;;;;;;;;;;;;;;
70;3,180009;2,788694;;;;;;;;;;;;;;
80;3,181045;3,407256;;;;;;;;;;;;;;
90;3,181134;4,01459;;;;;;;;;;;;;;
100;3,182209;4,759332;53,23714;;;;;;;;;;;;;
110;3,183003;5,484554;;;;;;;;;;;;;;
120;3,183972;6,269076;;;;;;;;;;;;;;
130;3,184765;6,913099;;;;;;;;;;;;;;
140;3,175784;7,509468;;;;;;;;;;;;;;
150;3,189033;8,105341;;;;;;;;;;;;;;
160;3,190007;8,531133;;;;;;;;;;;;;;
170;3,190089;9,008998;;;;;;;;;;;;;;
180;3,190174;9,590676;;;;;;;;;;;;;;
190;3,192001;10,000008;;;;;;;;;;;;;;
200;3,192045;10,431285;111,780191;;;;;;;;;;;;;
